,BLOCK_NUMBER,BLOCK_TIME,TOKEN_A_IN,TOKEN_A_OUT,TOKEN_B_IN,TOKEN_B_OUT,SENDER,TX_HASH
79,14560424,1649655820,0.0,0.09113472094748122,3.00681e-10,0.0,0xE2e47af66f298354f4BAe4444683Cfe0c40231D3,0xeec0953fa48b6ea1585297af14476613bb6f31069e17d1df6f99777de09b277e
80,14560427,1649655843,0.0,2.28846214149982,7.551141544e-09,0.0,0x5974a5C9aD70E7700Efb35C24b0F7811C8926d15,0x1b0fd96ffdafd98e5459f7e056ae529b77bb4d9e46b349b8a68b13c3f4a93872
81,14560441,1649656011,0.0,0.18151556280916595,5.99006331e-10,0.0,0x9D2183e1ba5F34E9c681d093bFEddfa4e27C0362,0x452c19a9b7b463d4cc4ea0b0aaf422e55d512beb8e12cae335830a52eba855a8
82,14560441,1649656011,0.12308514594770927,0.0,0.0,4.03751987e-10,0xC3EDC3d9325d12EA78F08c160B7Dfa243d82bc07,0x2e102c4ad4f4eaf780356e144552a68d903e48cc14e7e0d82ba689af233e5186
83,14560441,1649656011,0.0,0.2784998816212478,9.19066171e-10,0.0,0x4B19b8B0eFD3c9a0E221C689Aa164B388924CD9e,0xa9fd6a47e9d964ec296c8364da70c56dc431b193c8c5372dccae7516c6858b88
84,14560455,1649656174,0.0,0.3113065626049951,1.027357624e-09,0.0,0xB06778D99E690f6F6C94Fc548f744d75e415C696,0x18772a1f305610d5f6a0c11c4c9b79dc9f418ed97ae0903262fa0d4bb7fbe845
85,14560461,1649656219,0.0,0.42065356911908147,1.388264927e-09,0.0,0x12093977A68A38e0452f7ab6e6871479F01a975a,0x3e8a05b6d3b360f780376fa407530d4a588570107b001bec2acac15db6f6272b
86,14560463,1649656226,0.0,0.15149941738893707,5e-10,0.0,0x9472B68cd8BDF2EBFD24e763bB6c72e5785fd9D6,0xd44736aea252d21e57c3d4b80203741aa9d1ab72f99e484f5cbf7aa5f0b86fe3
87,14560464,1649656233,0.0,0.23007173491885077,7.59328702e-10,0.0,0x6C0B937313b7a738371dB21540A5eDE067a9dDBb,0x8ab702142a8eb390d6b8070770faeb9fb79815cf5a9c602bdc57f0fa079434ac
88,14560465,1649656250,0.0,0.45447630424893076,1.5e-09,0.0,0x60D4017F9322B9B4cbb705C2952Ad5f25208E496,0xd051f9b50a2674c0db8a91b0470a85a01772add41f8b94680cff25ddd3d842f8
89,14560469,1649656286,0.0,0.08877139605139325,2.929974e-10,0.0,0x038859b96216eCB5C5265228103b8640cb2185a4,0xa31680071ab41e5bd85af92e00ce34bf5796ffdc7618f257efc00f32aa79efa0
90,14560469,1649656286,12.512164634146343,0.0,0.0,4.1026707525e-08,0x23E85c1d8bFcD8BfDe5128F6d47D671A3E52d359,0xdecfd50d552caba14af0d331e8916788038eeaa4fdad50c6fc7b29fc3b39e2da
91,14560469,1649656286,0.7838900979637649,0.0,0.0,2.568808488e-09,0x76e40D0a69Fd81826B5eb7D18145626d46EAFdef,0x4379ddd29a2c62e199efa5a769cf6a20357a238305afed51338cea6b7196aba9
92,14560469,1649656286,0.0,0.03018071598843266,9.9494934e-11,0.0,0xb342383D8d32730aF407f72392f5CB1c0817A9bF,0x935b82b6f246d8408bff3e1589e5b1e51d58c7b6525177b6082c445f3d885237
93,14560469,1649656286,0.0,0.3006805048372924,9.9125e-10,0.0,0xe31B7252970745a8aAf5802aA1042A35DbFc3697,0x080555b320e905ff1b559e50383fdbd9fd1b06d2ebbc8387785ca847bc8778b8
94,14560476,1649656378,0.0,0.011760119028237582,3.877e-11,0.0,0x05069d46aC23BE0A5aD624Eecca487dDD7FfC1F4,0xded612191f88e82936eadbaaae4e64512f804a86a8c3252e775e4e1bea5164e5
95,14560484,1649656468,12.550428134556576,0.0,0.0,4.1104322387e-08,0x9aB9742Af41EF177e0d6136b0f4094aC2f2Df1Bf,0xc30f6b3d377152c64810d623ef67fd05cb5ff6f5661bb52730c3f2f5df9d6f44
96,14560485,1649656480,0.19825,0.0,0.0,6.4892103e-10,0xA4a6f061DD72ffd5132A7d5765845A1fBCf6e792,0x9f22a80acde14c02aa80106369cf494bf157b0d98c0b7653c8c69fc92d51f779
97,14560485,1649656480,0.1586,0.0,0.0,5.19128462e-10,0x2D538681b53C1aeD149B3565F7fb7A973afFACc7,0xe3f9c71cfa510da1839402b751e07d16203e7b09cd1affa6026ff887f5947283
98,14560485,1649656480,0.24019144687362937,0.0,0.0,7.86178898e-10,0x1F117b36174852061CdcE1F3F38A448755AA3940,0x2968690479aa93bafdfc4e94731b7b988b37f7cb414ea64ac5347add97cf4def
99,14560486,1649656499,0.6368257811452307,0.0,0.0,2.084333962e-09,0x7061e70B88268765072520A44d0A1E326121959e,0xf7e0725da26439d8cd6e6b7318d5e4c35e98661c2b628375f75d5d527e0e0d77
100,14560487,1649656515,0.06333622876996785,0.0,0.0,2.07293235e-10,0xcb8aDF742FD717B57f5da3b2f74fC249E5ECC53a,0x6088eafc477dd9f8f92973913e8ed52a2d452cb6facea748fe2c07e2fe83e083
101,14560492,1649656607,0.0,0.030279813413467097,9.97e-11,0.0,0x887defDaCa42A8857fDef30E33C33694C4B16267,0x9a2bfbeb717bbd591cc0d29e7f242f6d688310c075c74d6c46753996f7ddc718
